group,score
M,79.5718469834972
M,89.98672723291793
M,86.41489249025996
M,77.46852643040954
M,82.10699874015732
M,93.25718268548576
M,72.86660378303463
M,82.85543685571912
M,91.32968129352767
M,80.66629798867449
M,81.60556924188973
M,84.52645515531555
M,92.45694813062144
M,81.80549001657674
M,82.78009020176967
M,82.82824362190742
M,96.02965041362728
M,95.93393044486893
M,90.02026948939438
M,86.93093199587427
M,88.6868428794812
M,92.453660140754
M,80.32083065798804
M,90.87914522391051
M,78.73059666125494
M,81.81124248773295
M,89.5355259790015
M,77.85659649887016
M,84.29965639905667
M,80.69122552070158
F,76.72190314734702
F,64.00705447269638
F,69.14233447745076
F,74.50061382701041
F,82.63731215879291
F,77.13182158604891
F,78.01422957948405
F,81.44111355551142
F,73.60231828495473
F,79.41813661903646
F,73.97316740967192
F,69.36165252939696
F,76.04550103122449
F,80.86902931202529
F,79.692945254999
F,77.9408475276059
F,89.96182632968863
F,80.06456080154389
F,82.89368002968673
F,89.19071669248976
F,71.52957338419375
F,72.80605894897523
F,86.71856112561466
F,74.00968632379468
F,78.14841615151666
F,83.34657984712175
F,82.45353195646585
F,86.77443090990555
F,85.47822068516734
F,83.34696334852869
