before,after
151.90736765984562,142.84061435946666
171.02836323727496,165.3186986052651
154.7222248010211,148.52111559617438
137.1232625348029,134.68353373247464
146.0079834484943,127.2691097278591
140.26648935589478,119.6162144712394
173.49401353407225,163.13824241670238
118.62944714082921,117.83765834965726
171.84492095605032,163.60787444394455
164.17940123097904,156.22392020505796
143.99698209221978,131.20043123757375
154.72840956056743,142.3583440737528
133.34908748893645,131.862254331057
141.22767712114305,137.76910985509585
147.1738565389869,135.0496978494855
162.1953547357597,152.16201131849547
147.580429253775,139.93384563871143
174.01307326047382,161.61046245131274
164.76513862662992,149.43420711287825
137.4682894073448,121.6866973414
